,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
6133,,High grade Carcinosarcoma Squamous cell carcinoma Carcinoma ex,compounds of similar chemical or biologic composition to pembrolizumab,,Kellgren & Lawrence radiographic,function,,,,wide-necked,within less than 2 weeks before signing the ICF.|Use of medicinal products,< 1 year|Uncontrolled Hyperthyroidism|Hypertrophic,,,,,,
6134,,Healthy rabbits|Rabbits,Emergency Medicine,,oral steroids|Severe valvular heart disease,first vaccination,,,,aligners|General joint,within 90 days of the screening,between 50,,,,,,
6135,,visually induced,anti-inhibitor coagulant concentrates,,screening);|Body Mass Index (BMI),Biochemical test,,,,Esbjerg municipality|Able to write,in the last 6 months|Medical revascularization,Low,,,,,,
6136,,serious disorder,unlicensed vaccine,,glycosylated hemoglobin is,ipsilateral percutaneous nephrolithotomy,,,,suitable for practice by the service midwives,within 1 month;|Severe liver,>2 years,,,,,,
6137,,age|Ability,quinine,,rapid response.||,ocular treatment,,,,irresectable,within 14 days)||Neutrophil,between ≥0.5 to 3.0 grams (g)/g/day,,,,,,
6138,,cough symptoms,nonstatin drugs,,prostate MRI contacting,heart transplantation,,,,excluding,"within three months prior to investigation,|peripheral revascularization",stage II to IV,,,,,,
6139,,coagulation times,Apalutamide treatment||,,medium-risk/high-risk kidney cancer,transcatheter aortic valve replacement,,,,full year of life,during the last 3 months before inclusion|Receiving optimal symptomatic,≤ 30 mmHg,,,,,,
6140,,non-nitrosourea-containing cytotoxic chemotherapy regimen,1A2-inducing,,CDR scoring,coronary arterial bypass graft,,,,prism,after definitive therapy with,at least 60 for subjects greater than 16 years,,,,,,
6141,,both)|Hepatitis C infection,human growth hormone,,UNL|Systolic blood pressure,ultraviolet phototherapy,,,,"under the care of an oncologist, or|Health professionals involved",within the last 12 months.|Lifetime history,<200 cells/μL,,,,,,
6142,,amines,caffeine-containing food,,TRRIP consensus criteria,vascular pathology|extrapyramidal,,,,3.Active,within 24 hours of the planned dose of study vaccine,"<10.0 g/dl,|Absolute",,,,,,
6143,,POBA,anti-TB treatment,,NYHA classes,cognitive ability;|pregnant,,,,foveal center,planning to become pregnant,40 - 100 bpm,,,,,,
6144,,marginal zone lymphoma,doravirine/islatravir,,preclude blood sampling|Fear,tooth extraction,,,,full four-month course training,for at least 6 months prior to the Screening Visit.|Subject must be able,1-3)|Age,,,,,,
6145,,depressive mood disorder,beta-blockers treatment.|Morbid obesity (,,FSCP,vital organ primary diseases,,,,obstructive,within 5 days prior to leukapheresis,75 years and older|PS score ≥1,,,,,,
6146,,non-CNSL,Bacillus tuberculosis).|Has,,RAI refractory thyroid cancer,pharmacological visceral hyperalgesia.||Patients,,,,radiographically unstable,within 1 week prior to the Screening visit,> 18 years.|Naïve,,,,,,
6147,,COVID-19 PCR test,berberine,,inflammatory index,thoracic surgery|Mechanically Ventilated,,,,strabismic amblyopia,for more than 48 hours,>12 weeks|Willing and able to comply with all study requirements,,,,,,
6148,,phobia,MAO inhibitors,,RASS score,suspension,,,,first-episode,emergency use authorization,50-64|Postmenopausal women|Recent,,,,,,
6149,,"cardiovascular disease,|5d",tattoo,,Absolute neutrophil counts,extracorporeal membrane oxygenation treatment,,,,"diagnostic criteria from the ""Diagnosis",within 16 weeks prior to Step 2 registration.|Documented,between 18.5 and 29.9 kilograms per square meter (kg/m^2),,,,,,
6150,,type II diabetes|Scheduled surgery,endothelin receptor antagonists,,flexion ROM,pathology allows urothelial carcinoma,,,,CYP2C9,for 3 months after the last dose of,50-68 years,,,,,,
6151,,Richter's transformation,UK,,hepatitis B virus core antibody,primary knee arthroplasty procedure|PHQ-ADS,,,,human influenza challenge,within 4 weeks prior to initial administration;|History of inherited,> 12 weeks.|Females should,,,,,,
6152,,systemic condition,sodium hydroxide,,required.|Absolute count,escalation of therapy,,,,African American|Unable,within 2 months prior to vaccine administration,18 - 79 years,,,,,,
6153,,preoperative neck pain score,Ticagrelor,,MVR + coronary artery bypass grafting,β human chorionic gonadotropin [β-hCG]).||When,,,,vitamin C,within the past 5,10 cm,,,,,,
6154,,Hodgkin's lymphoma,anti-CD47 monoclonal antibody fusion protein.|Subjects,,South Korean COPD patients(Bronchodilator test results FEV1/FVC,open pancreatoduodenectomy|Provided,,,,proximal,prior to admission|3,21 years or older,,,,,,
6155,,NOS|DLBCL associated,MEK inhibitors,,liver function abnormalities,interventional research||For control,,,,at AS,in the next 12 months||,18-45|pregnant,,,,,,
6156,,Sensation,conventional angiography|Undergoing thrombolysis with catheter directed lytics|Clinically sober,,serum antibodies,optical coherence tomography,,,,stoke)|Chronic,within the projected duration of the trial,18-80 years,,,,,,
6157,,abdominal pain,low molecular weight,,AST)(serum glutamic oxaloacetic transaminase,bilateral orchidectomy,,,,non-traumatic hand pain,after initial treatment for,> 1.5 x 109/L|Hemoglobin,,,,,,
6158,,physical lmitations,nicotine consumption,,speaking|American Society of Anesthesiologists (ASA),MR spectroscopy,,,,non-malignant etiology,within the last 28 days before inclusion,> 18 years|parent,,,,,,
6159,,inclusive||,dysplastic syndromes,,hepatitis C (HCV),small screen/video game recreation,,,,high-dose methotrexate,after at least 7 days of stable supplementation regimen||Pregnancy,at least 5 medications.||Exclusion Criteria,,,,,,
6160,,not eligible.||ii,mumps vaccine,,malignancy|MELD score,Auburn AL,,,,grade 2 or less,within the previous 5 years|Autoimmune pancreatitis|Surgical removal of any portion of the pancreas||ii,24 points,,,,,,
6161,,Relapsed lymphoma,methylamphetamine,,by:||Left ventricular ejection fraction,diagnostic study||Decision tree classification,,,,Evolut,for at least 6 months after the last IMP administration|Ability,>3D,,,,,,
6162,,neurological problems,Jaktinib,,normal range;|bilirubin,bariatric procedure,,,,topical eye drops,within 3 months of any planned study procedures,< 8G/L,,,,,,
6163,,Cardiogenic shock,Chronic medications,,thrombus burden,lung function,,,,on room air if there is any clinical indication for determination.||Exclusion Criteria||Non-elective,at least once a month,"Ⅰ-Ⅱ ,|18-80 years old",,,,,,
6164,,CMV,hepatitis C;|Patients,,Hemoglobin (HGB),Nuss procedure,,,,high-dose methotrexate-based,within 4 weeks prior to baseline|BMI,III to IV,,,,,,
6165,,endometrial cancer clearly,anti-itch products,,Head Start Educators:||Does,blood stem cell transplant|Stroke,,,,"ASAS 2009 criteria,|Hospitalized",within 8 weeks before first dose,> 20 minutes,,,,,,
6166,,months|Mini-mental state examination≥25|Biceps ≤2,scans,,Montreal Cognitive Assessment,implant treatment||,,,,hormone blockers,within 24 hours prior to presentation|Desire treatment,less than 6 months old,,,,,,
6167,,alcohol drinking|male,nonsteroidal anti-inflammatory drug use|oral bisphosphonate,,Lumbar Punctures for,coronary angioplasty,,,,first degree,within 28 days before the first dose of study treatment.|Central nervous system,< 50 × 109/L,,,,,,
6168,,macular traction syndrome,BTK inhibitor,,partial elbow extension,maintaining internet access,,,,TP53WT|Locally advanced,within 6 months prior to screening|Administration of a prescription,20 and above,,,,,,
6169,,chronic limb pain,reslizumab,,AMI);|Prior surgical myocardial revascularization,local requirements.|The LAR/parent/guardian,,,,Class III-IV,over the past 6 months.|Subject,± 12 months,,,,,,
6170,,SaO2>95%)|Anemia,CDSS,,HSV-,vaginal microecological improvement products,,,,American Diabetes Association (ADA) criteria,throughout the study treatment,>60 mmol/L,,,,,,
6171,,hypersensitivity reactions,emigrate,,total shoulder arthroplasty,unique combination of,,,,white dot syndromes,at the time of data,"no more than 12 hours after surgery),|If the patient",,,,,,
6172,,chronic physical condition,"antiplatelet,",,forced expiratory volume in 1 second (FEV1),chest computed tomography scan (CT-scan).|Moderate,,,,minimally invasive,within 30 days prior to C1D1,> 15,,,,,,
6173,,/ M0|Tumor resectable,probiotics,,partial cystectomy|Previous total colectomy,interventions|stationary accommodation,,,,some,≥12 months after therapy should have progressed after,≥ 2500/µL,,,,,,
6174,,primary myelofibrosis (,African,,dual screen contraception,hematopoietic stimulating factors.):||Hemoglobin (HB),,,,stenotic degree,at routine screening ultrasound Suspicion of,≥ 200 mg/j,,,,,,
6175,,to:||Nationality|Mental health status|Substance,Cisplatin/Carboplatin,,walking speed,robotic procedure,,,,total,within 28 days;|Those,36-45,,,,,,
6176,,axillary temperatures<37.3°C/99.1°,components of study intervention,,HBV DNA copy number positive,Rascovsky criteria)17,,,,ASAS criteria|Patient,during the last three months,>200 mg/dL,,,,,,
6177,,fascicular block,Clozapine,,Collaborative Oncology Group (ECOG) performance status,systemic treatment for cancer,,,,hernia|Previous,within 14 days after the completion of screening||,≤2|Adequate,,,,,,
6178,,laptop computer,injectable paclitaxel,,Response Evaluation Criteria In Solid Tumors (RECIST) version 1.1.|Eastern Cooperative Oncology Group performance status,adenomatous polyp,,,,non-lactating.|Females of,for ≥3 years before the first administration of IMP.|Adequately treated,smaller than 51 centimeters,,,,,,
6179,,cardiac T2*,membranes|any,,DBS technology,robotic-assisted rectal,,,,PSI guides was abandoned.|Patients that,during a physician supervised,≥ 90 g/L;|Serum,,,,,,
6180,,clinical symptoms consistent,prebiotic,,Dyspnea Index score,surgical procedures required,,,,without microbiologic evidence of,within the last 28 days prior to withdrawal,≥ 15%,,,,,,
6181,,corneal ulcers,non-steroid anti-inflammatory drug,,Serum alanine aminotransferase(ALT)/aspartate aminotransferase(AST,Musculoskeletal injury|Dietary supplements|Medication,,,,3 through,within 3 weeks prior to the first dose of study,> 3 times upper limit of normal).|Unwillingness,,,,,,
6182,,Smoldering MM|Suffering from,immunosuppressive drugs;|Use of,,Left ventricular end-diastolic diameter (LVEDD),hormone vaginal ring,,,,diagnosed by emission computed tomography,during prengnancy|No illicit drug,≥ 460,,,,,,
6183,,corneal endothelial dystrophy,AHT medications,,AP length maximum 10 mm).||,kidney transplantation,,,,over 30° when,at Screening or Day -1,between 50.0 and 115.0 kg,,,,,,
6184,,visible abdominal distention,sulphonylureas,,HCV RNA copy number,transperineal ultrasound||,,,,ICD-10 F2x.x,prevent vaginal delivery;|not,Grade II or III,,,,,,
6185,,hemorrhagic diseases;|Pulmonary hypertension,local governmental recommendations,,HCV RNA.||Current,FTD medications,,,,non-transplant,at least 8 weeks prior to initiating participation,≥ 0.1%,,,,,,
6186,,preserved reproductive function,contrast medium,,UNL|TSH,caesarean delivery with spinal anesthesia|Native to their resident altitude,,,,CVD risk calculator,within 14 days of study enrollment,≥18 years.|INOCA,,,,,,
6187,,diagnosis);|Diagnosis,departments,,RECIST v1.1|Can provide archived,radical surgical treatment,,,,other immune,in the 3 months before conception||Exclusion,50 years and older,,,,,,
6188,,etc.|immunodeficiency disease,Cordarone®,,RECIST version 1.1.|Eastern Cooperative Oncology Group (ECOG) performance status,complete physical examination,,,,cytologically-confirmed,within the past 28 days prior to start of study treatment,<28 days,,,,,,
6189,,moderate alcohol,study drug components.|Pregnancy,,IHC1+,local treatment guidelines,,,,ethanol,for five months after the last administration of,1-2 points,,,,,,
6190,,spinal muscular atrophy|Pregnancy,hyaluronic acid)|Participates,,Blood test,chronic steroid,,,,non-small cell lung cancer|Age,within 30 days prior to study enrollment|Written informed consent/assent|Karnofsky score,> 92%,,,,,,
6191,,therapy|Requires,hypoglycemic treatment,,NR,basilar artery occlusion,,,,androgen-producing tumors,the time of recruitment,≥3 x,,,,,,
6192,,multigated acquisition,eggs,,GEP-NEN,24-hour periods,,,,outcomes.10|Non-traumatic cause of pain,at least one vessel,> 90,,,,,,
6193,,Schizoaffective disorders,regional policy makers,,ETH-155008.||Corticosteroids,sleep on|Wear,,,,incompletely healed,for 3 months after treatment.|Subjects/Surrogate decision maker,1 and 2,,,,,,
6194,,sedation assessment|Abuse,TCS,,Neutrophil Count (ANC),intra-articular corticosteroid injection,,,,adequate baseline tumor sample,within 1 week of study participation.|History,≤2.5×upper limit of normal (ULN),,,,,,
6195,,unexplained serum AST/ALT,ocular topical medication,,IHC 1+/2+,myopia treatment,,,,newly transferred nurses,within 12 weeks prior to Screening.|Receipt,≤ 10mm/5min,,,,,,
6196,,Cystic,hypoglycemic agents,,Twamley,ethnic minority group (self-identified,,,,NMOSD International Consensus Diagnostic,within ≤ 14 days prior to treatment.||Note:,"Pregnant,|Emergency",,,,,,
6197,,Periodontal disease,components of pembrolizumab,,HDL-C,psychotherapeutic treatment,,,,suitable for participating in this clinical trial,throughout the duration of the study|Patients,12-17 years,,,,,,
6198,,palpable tumor,anti-CD20 monoclonal antibody.|Follicular lymphoma,,serum Cr ≤ 1.5 × ULN,finger prick measurements|In the judgement of the treating clinician critical care area,,,,1.Patient,within 12 months prior to the first dose in this current trial,between 18 to 45 years,,,,,,
6199,,vagus nerve stimulation,conventional chemotherapeutics,,Diagnosis(PGD,tobacco user||,,,,Female,within the last six months|Adolescents,CCr)≥60ml/min,,,,,,
6200,,PCED,"fibrinoid necrosis,|",,SOX/FOLFOX/CAPEOX,assessment of coronary artery disease.||,,,,non-atherosclerotic lesions,within 3 months.|Intracranial tumor,platelets≥100*109/L,,,,,,
6201,,non irradiated lesions,brimonidine,,minimal support||,quit CC|Change,,,,meeting the indication,at the time of screening to undergo chemotherapy,< 280 dB/m,,,,,,
6202,,mental health symptoms,immune-related toxicity,,Hepatitis C test,pain)|Left-handedness|MRI-exclusion criteria,,,,upper airway tumor,in the last 2 years||Any disorder,≥ 75 × 10 ^ 9/L.||7,,,,,,
6203,,hematoma block,PWI,,Diagnostic Exclusions:||Meeting lifetime DSM-5 criteria,peripheral artery revascularization,,,,IGF-1,within 12 weeks of Visit 2/Baseline,higher than the lower limit of detection,,,,,,
6204,,associated cardiac pathologies,ropivacaine,,Doppler velocity index,CS.|Singleton pregnancy.|Patient,,,,hormone sensitive prostate cancer.|Receipt,within 3 months prior to the,19 years or,,,,,,
6205,,metabolic interventions,Vitamin K deficiency,,New York Heart Association (NYHA) functional classification,penile surgery,,,,stage IV breast cancer,at least 4 weeks prior to the first dose of study drug,< 89 mg/dL,,,,,,
6206,,care||,anti-coagulant.|Patient,,factor IX,Nasopharyngeal Swab (NPS),,,,remotely-supervised,in the past 6 months;||13,< 14 years,,,,,,
6207,,pulmonary,examinations,,serum anti-ttg concentrations,cell therapy,,,,non-consecutive,for at least 6 months.|Previously,4-5μm thickness,,,,,,
